#	bench-name	unmod-time	unmod-error	mod-time	mod-error	
read_slice_baseline         	809	331	779	16	
read_slice_f32_be_byteorder 	831	230	813	15	
read_slice_f32_be_crate     	832	67	813	15	
read_slice_f32_le_byteorder 	792	67	780	15	
read_slice_f32_le_crate     	792	57	781	19	
write_slice_baseline        	773	187	783	445	
write_slice_f32_be_byteorder	3416	533	2978	190	
write_slice_f32_be_crate    	2000	4802	1704	92	
write_slice_f32_le_byteorder	3285	383	2994	77	
write_slice_f32_le_crate    	613	80	569	12	
