#	bench-name	unmod-time	unmod-error	mod-time	mod-error	
bench_exp_mod_circuit_base	1195091	19416	1209892	5356	
bench_exp_mod_circuit_rec 	3271455	210871	3300097	16656	
bench_apply_many_swaps_large         	391347	218	395220	135	
bench_apply_many_swaps_large_multiops	1586293	4951	1613934	6019	
bench_apply_many_swaps_small         	7197	10	7251	4	
bench_apply_many_swaps_small_multiops	31969	668	32827	757	
bench_apply_two_swaps_large          	4821908	26150	4874997	16216	
bench_apply_two_swaps_large_multiops 	31710260	1029201	32324532	551985	
bench_apply_two_swaps_small          	1010	1	1016	1	
bench_apply_two_swaps_small_multiops 	4641	104	4703	114	
bench_cidentity                      	798	12	742	3	
bench_cidentity_giant                	8313469	5529	8096406	13375	
bench_cidentity_giant_halfprec       	8380402	14085	8343072	36157	
bench_cidentity_larger               	20925	67	20062	15	
bench_hadamard                       	1886	42	2028	272	
bench_hadamard_larger                	2384882	22007	2442805	25433	
bench_identity                       	973	11	1021	31	
bench_identity_larger                	392739	13351	366695	9589	
bench_identity_larger_sparse         	39461	41	39915	103	
bench_identity_sparse                	1161	1	1187	0	
